Model,MSE,MAE,RMSE,R2,Accuracy,F1
LSTM,0.02327169807394962,0.10607041019946334,0.13211831402799826,-1.651508285999298,0.49397616764826735,0.44479516974100386
TCN,0.020656199952354612,0.10057137016206977,0.12464355102033224,-1.2853474009037018,0.49988677350134686,0.47143535398351927
Transformer,0.023015387716004577,0.09878955036401744,0.12215870534256787,-0.9497248613834381,0.49757658768205265,0.4810024514771067
xLSTM,0.013057111417292565,0.07578773282468315,0.0965623516540976,-0.13243255376815793,0.5571223120120531,0.636476708161474
