MSE,MAE,RMSE,MAPE,R2,Accuracy,F1,Stock,Model
0.009043120779097,0.0791955590248107,0.0950953246963123,105.15769720077516,-0.1415042877197265,0.7046979865771812,0.8267716535433071,2330,xLSTM
0.011654170230031,0.0867516323924064,0.1079544822137136,100.0532865524292,-0.008935809135437,0.5536912751677853,0.7064017660044151,2317,xLSTM
0.014226802624762,0.0996880605816841,0.1192761611754924,302.35307216644287,-0.1973825693130493,0.5167785234899329,0.6326530612244898,2454,xLSTM
0.0341124944388866,0.1518585085868835,0.1846956806178386,106.07240200042725,-0.500484824180603,0.5369127516778524,0.6729857819905213,2308,xLSTM
0.0083210505545139,0.0688218846917152,0.091219792559038,176.2765645980835,-0.0221916437149047,0.5536912751677853,0.712742980561555,2382,xLSTM
0.0216341875493526,0.1105762049555778,0.1470856469862122,99.8945951461792,-0.2270759344100952,0.7248322147651006,0.8404669260700389,3711,xLSTM
0.0134907253086566,0.0804667696356773,0.1161495816120604,224.96461868286133,-0.3086159229278564,0.3959731543624161,0.2913385826771653,2303,xLSTM
0.0031837362330406,0.0402022749185562,0.0564246066272569,138.62621784210205,-0.137222409248352,0.7114093959731543,0.8313725490196079,2891,xLSTM
0.0027137142606079,0.0399336703121662,0.0520933226105607,144.68519687652588,-0.0149961709976196,0.5604026845637584,0.7182795698924731,2881,xLSTM
0.0122548155486583,0.0988399013876915,0.1107014703997122,894.7643280029297,-0.9292317628860474,0.5167785234899329,0.3333333333333333,2882,xLSTM
0.0019933169241994,0.0357934646308422,0.0446465779674037,215.09814262390137,-0.8137567043304443,0.4899328859060403,0.5159235668789809,2886,xLSTM
0.0031401577871292,0.0462018437683582,0.0560371108028356,96.80437445640564,0.0690882802009582,0.6577181208053692,0.7702702702702703,2884,xLSTM
0.0017921150429174,0.0337025932967662,0.0423333797719651,131.57565593719482,0.0226795077323913,0.5201342281879194,0.6843267108167771,2892,xLSTM
0.002382923848927,0.0378526523709297,0.0488152010026284,141.94648265838623,-0.0548882484436035,0.7651006711409396,0.8669201520912547,2890,xLSTM
0.000709630199708,0.0207913797348737,0.0266388851063261,134.53519344329834,0.013399600982666,0.5335570469798657,0.6017191977077364,5880,xLSTM
0.003481728490442,0.0442232638597488,0.0590061733248482,120.95861434936523,0.3111476302146911,0.8187919463087249,0.8701923076923077,2883,xLSTM
0.0069724591448903,0.0654539987444877,0.083501252355221,124.8108983039856,-0.607181191444397,0.4395973154362416,0.4414715719063545,2887,xLSTM
0.0043061999604105,0.0511205084621906,0.0656216424696197,109.55976247787476,-0.0853172540664672,0.7483221476510067,0.8560460652591171,2885,xLSTM
0.0043339971452951,0.0524962693452835,0.0658331006811554,106.69558048248292,0.0430203080177307,0.5100671140939598,0.5921787709497207,5871,xLSTM
0.0021676144097,0.0376768633723259,0.0465576460927744,101.665198802948,-0.0439950227737426,0.714765100671141,0.8336594911937377,2880,xLSTM
0.0014083829009905,0.028804961591959,0.0375284279045971,110.87219715118408,0.0125347971916198,0.5805369127516778,0.3016759776536313,5876,xLSTM
0.000390561093809,0.0165984295308589,0.0197626185969643,114.8307204246521,0.009263277053833,0.5805369127516778,0.7346072186836518,2412,xLSTM
0.0007686640019528,0.023212319239974,0.0277247903860941,105.26221990585329,-0.0553443431854248,0.4597315436241611,0.0,3045,xLSTM
0.0015942124882712,0.0324020572006702,0.0399275905643114,99.4895040988922,-0.0185388326644897,0.6543624161073825,0.790224032586558,4904,xLSTM
0.0104627637192606,0.0757651925086975,0.1022876518415624,135.1210355758667,-0.015712022781372,0.587248322147651,0.7399577167019028,3231,xLSTM
0.0099855288863182,0.0808577537536621,0.0999276182359922,128.65939140319824,-0.0494719743728637,0.5167785234899329,0.6814159292035398,2357,xLSTM
0.0273329466581344,0.1299954354763031,0.1653267874790243,126.8141746520996,-0.1052801609039306,0.6409395973154363,0.7811860940695297,2059,xLSTM
0.0148056512698531,0.0902479290962219,0.1216784749651848,106.32165670394896,-0.0438258647918701,0.6308724832214765,0.7736625514403292,2301,xLSTM
0.0267604757100343,0.1283494383096695,0.1635862943832226,146.56391143798828,-0.0677524805068969,0.6208053691275168,0.7660455486542443,2345,xLSTM
0.0079261399805545,0.0682319030165672,0.0890288716122729,313.33820819854736,-0.2026175260543823,0.7181208053691275,0.5922330097087378,3008,xLSTM
0.0041677118279039,0.0519724525511264,0.0645578177133024,121.50996923446657,0.0047481060028076,0.5536912751677853,0.712742980561555,2379,xLSTM
0.1131287887692451,0.2618014514446258,0.3363462334696869,103.98476123809814,-0.3649241924285888,0.540268456375839,0.6385224274406333,2408,xLSTM
0.0039937319234013,0.0504071861505508,0.0631959802788227,109.666645526886,-0.0609552860260009,0.436241610738255,0.5280898876404494,3034,xLSTM
0.0293067507445812,0.1265983879566192,0.1711921456860133,127.51187086105348,-0.5551474094390869,0.4597315436241611,0.4390243902439024,2327,xLSTM
0.0039834710769355,0.0483345873653888,0.0631147453210066,103.83774042129517,0.1210373044013977,0.6812080536912751,0.7439353099730458,2474,xLSTM
0.0066689676605165,0.0631217584013938,0.0816637475292219,167.19727516174316,0.0297101736068725,0.4966442953020134,0.647887323943662,2395,xLSTM
0.0208602529019117,0.1161322146654129,0.1444307893141616,145.36226987838745,0.0086324214935302,0.587248322147651,0.7399577167019028,6669,xLSTM
0.0078325467184185,0.0733567848801612,0.0885016763593695,177.28153467178345,-0.1393280029296875,0.4429530201342282,0.6139534883720931,2603,xLSTM
0.0092530660331249,0.0833405628800392,0.0961928585349501,147.165846824646,-0.1846901178359985,0.3657718120805369,0.5356265356265356,2609,xLSTM
0.0144404983147978,0.0865257233381271,0.1201686245023961,161.54857873916626,-0.0151959657669067,0.3590604026845637,0.528395061728395,2615,xLSTM
0.0029738489538431,0.0413806959986686,0.0545330079295385,122.04018831253052,-0.0990601778030395,0.4463087248322148,0.2028985507246377,2207,xLSTM
0.087385393679142,0.2397394031286239,0.2956102056410468,134.2148780822754,-0.0108157396316528,0.5306122448979592,0.6933333333333334,6919,xLSTM
0.0075641060248017,0.0677347779273986,0.0869718691578014,128.88944149017334,-0.0165531635284423,0.5738255033557047,0.7292110874200426,1301,xLSTM
0.0339634716510772,0.133034735918045,0.1842918111340742,117.47114658355711,-0.1884299516677856,0.610738255033557,0.7444933920704846,1303,xLSTM
0.0111773153766989,0.0837435349822044,0.1057228233481255,118.8673973083496,-0.0821204185485839,0.5503355704697986,0.6171428571428571,6505,xLSTM
0.0016962520312517,0.0330428965389728,0.0411855803801741,102.31733322143556,0.0041795372962951,0.4630872483221476,0.6330275229357798,1216,xLSTM
0.0066373995505273,0.0609751194715499,0.0814702372067697,102.98727750778198,0.0138269066810607,0.5234899328859061,0.6743119266055045,2002,xLSTM
0.0114473542198538,0.0871287733316421,0.1069923091621724,99.28327798843384,-0.0597952604293823,0.4865771812080537,0.5292307692307693,9910,xLSTM
0.0098706651479005,0.0790522694587707,0.0993512211696493,103.16169261932372,-0.3370293378829956,0.3322147651006711,0.4884318766066838,9921,xLSTM
0.0031536910682916,0.0458506010472774,0.0561577338243955,251.9789695739746,-0.5195275545120239,0.4530201342281879,0.6235565819861432,1402,xLSTM
0.059549868106842,0.2231452465057373,0.2440284165970062,618.9911365509033,-6.516921520233154,0.2953020134228188,0.0,2330,LSTM
0.0228424612432718,0.1253827661275863,0.151137226530302,256.0136556625366,-0.9775391817092896,0.4429530201342282,0.1075268817204301,2317,LSTM
0.0249671414494514,0.1275028884410858,0.1580099409830009,346.83332443237305,-1.1013307571411133,0.5167785234899329,0.3394495412844037,2454,LSTM
0.0771201997995376,0.2300040423870086,0.2777052390566977,362.60673999786377,-2.392237424850464,0.3288590604026846,0.0990990990990991,2308,LSTM
0.0111397020518779,0.0788957104086875,0.1055447869479017,174.69080686569214,-0.3684462308883667,0.5302013422818792,0.5205479452054794,2382,LSTM
0.026866640895605,0.1263597160577774,0.1639104660953811,215.54572582244876,-0.5238569974899292,0.5167785234899329,0.6470588235294118,3711,LSTM
0.0142896622419357,0.0755082741379737,0.1195393752783396,249.9452114105225,-0.3861137628555298,0.5906040268456376,0.6089743589743589,2303,LSTM
0.0060661621391773,0.0621612779796123,0.0778855708021538,463.3533477783203,-1.1668174266815186,0.4932885906040268,0.6378896882494005,2891,LSTM
0.0074665979482233,0.0672368854284286,0.0864094783471313,515.0818347930908,-1.792691946029663,0.4429530201342282,0.48125,2881,LSTM
0.0134165659546852,0.0908490046858787,0.1158299009525831,529.6846866607666,-1.112121820449829,0.5134228187919463,0.3612334801762114,2882,LSTM
0.0028114030137658,0.0407896824181079,0.0530226650948989,292.34018325805664,-1.5581488609313965,0.4630872483221476,0.3548387096774194,2886,LSTM
0.0094220545142889,0.0828171968460083,0.0970672679861182,345.57106494903564,-1.793203830718994,0.5671140939597316,0.4980544747081712,2884,LSTM
0.0040152473375201,0.0517264194786548,0.063365979338444,397.0691919326782,-1.1896939277648926,0.5167785234899329,0.4545454545454545,2892,LSTM
