Date,Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,SMA_10,SMA_20
2016-02-17,-0.5341535458807547,-0.569812237343038,-0.4779476879796076,-0.5610377399116008,-0.9901030493084034,-0.013031374780023919,-0.6008636403772512,-0.4820256650363677,-0.4401387281878715
2016-02-18,-0.5127156647889519,-0.5557878788297397,-0.47196622172424907,-0.5523699952362862,-0.9793733547126066,0.0526688095910377,-0.5921641558698032,-0.4771859455436016,-0.43601908258599353
2016-02-19,-0.5180751580596767,-0.5557878612273761,-0.46399064096335096,-0.5419685565555754,-0.9936903144019003,0.12729514347630633,-0.5818929262745731,-0.47137826383992,-0.42954533330361344
2016-02-22,-0.5305804277121429,-0.5733180939923513,-0.4938985726323817,-0.5679718380226033,-0.9886937695028803,-0.1250283452878771,-0.5830758080901625,-0.46774843001330546,-0.42469001361939496
2016-02-23,-0.525220934441418,-0.5627998986031022,-0.47395990952245515,-0.5558369134756573,-0.9947472470981028,-0.03304307934920758,-0.5800522697808476,-0.4633926516177269,-0.42174739179965415
2016-02-24,-0.5234346513304016,-0.5277391190337295,-0.4699722694988415,-0.5385013464653197,-0.9698607431832655,0.08507927043650443,-0.5719720726428225,-0.4602468202589134,-0.4151265074491888
2016-02-25,-0.5234346513304016,-0.5540348474561518,-0.46598453371863835,-0.5489027681642463,-0.9923450730181266,-0.011178145597286804,-0.5695981964282927,-0.4575849621679735,-0.4132138088764987
2016-02-26,-0.5198615331617895,-0.5592939367241101,-0.46598447022233036,-0.5489027127633442,-0.9931137785005772,-0.01117774203633437,-0.568131097238501,-0.4537131609672178,-0.4110068421786921
2016-03-01,-0.5145021318821614,-0.5505286704830374,-0.4600028546074124,-0.5471692232795523,-0.9944269735155364,0.0022630283794609074,-0.5667926985190521,-0.4481474659300779,-0.40732857250944243
2016-03-02,-0.5109289217224531,-0.5540346735727035,-0.45601495301619144,-0.5437019645469664,-0.991127989951671,0.030179983952935086,-0.5649718137460892,-0.4433077186035965,-0.40365030987306705
2016-03-03,-0.5145021318821614,-0.5522817453809217,-0.45800894181236274,-0.5367678013011588,-0.9896866909352732,0.08590855672177544,-0.5615967382119742,-0.43991990232437606,-0.3993835236765897
2016-03-04,-0.4787718701070076,-0.5189737437056907,-0.4500332369188442,-0.5385011949442172,-0.9424759532399483,0.06489340249458442,-0.5600348699237188,-0.43798397046410664,-0.3952638549187242
2016-03-07,-0.4948504419102786,-0.5172207043998966,-0.4400638906770078,-0.5003627303350349,-0.985042465987634,0.32346341170841053,-0.5461459140046537,-0.43217625509890456,-0.38820156881195067
2016-03-08,-0.4751988439294925,-0.513714552761847,-0.4380699787105551,-0.51769838329328,-0.9708856566685934,0.13255034553336964,-0.5419093278163067,-0.42515863420260014,-0.38172780204218526
2016-03-09,-0.41981716815574566,-0.4453456218452554,-0.4061677079404291,-0.4899612094528336,-0.857374919797512,0.28757424181775826,-0.5297223297017056,-0.4159631110463271,-0.37348846522823176
2016-03-10,-0.4269634044929691,-0.44008666964473386,-0.36230254689457286,-0.4431549879544585,-0.9125608852152163,0.47429835592632763,-0.5048617992015841,-0.4026538089210827,-0.3634835674274599
2016-03-11,-0.421603819231148,-0.4506048888841796,-0.35831472911867635,-0.45702345476588824,-0.9592911717997821,0.34628346006310395,-0.4913027015870663,-0.38982846813012384,-0.3540671842553793
2016-03-14,-0.43589592394120946,-0.46462935244188364,-0.37027813858242964,-0.4518228404372082,-0.9683233322183641,0.3667090688424568,-0.4801690506863902,-0.3762771865578809,-0.34347376289619547
2016-03-15,-0.4877045735374408,-0.49443121871820916,-0.430094609617083,-0.49516211198017035,-0.9514440752367809,0.018966281357368553,-0.4878206266172623,-0.3690175662875814,-0.33567583351215724
2016-03-16,-0.4769853110227018,-0.5172205612574028,-0.42610660886889207,-0.5176983220172224,-0.9812950776818238,-0.12447610172744805,-0.5029206584605727,-0.36538774402493246,-0.33052624428288335
2016-03-17,-0.4966369090034879,-0.5154676440337558,-0.43806999648168543,-0.5072969753459216,-0.9848182771956315,-0.06744871304644118,-0.512312825263722,-0.3612739411210275,-0.32596517929120794
2016-03-18,-0.4841315473599255,-0.5207269029059913,-0.4340822953842034,-0.5246327380468099,-0.98661189616341,-0.17411869742813701,-0.5267020350931211,-0.35933805719487344,-0.32361107372991826
2016-03-21,-0.4430421602784329,-0.4576173274806683,-0.3942049480429446,-0.4899616014506314,-0.8963542217675802,0.00854345614363372,-0.5268872956215928,-0.3578861740928001,-0.31919715993152287
2016-03-22,-0.45733398901520483,-0.48215980528548674,-0.3981924014417848,-0.4743593000158628,-0.9780921789085222,0.08002414916651035,-0.522525381591023,-0.3518365151212457,-0.3112521134973101
2016-03-23,-0.466266508463445,-0.48741897836736414,-0.40218025719387396,-0.47089213392859275,-0.9870603009053547,0.09581804866359844,-0.5188401486241839,-0.34917468208047686,-0.3040427136432349
2016-03-24,-0.4823448962845234,-0.5154676370921449,-0.4241127764392554,-0.5020962567255307,-0.9867720465336631,-0.10433333533836797,-0.5276971049409033,-0.3574022344062433,-0.30095295521361654
2016-03-25,-0.47341246882737953,-0.5172206985214713,-0.4201251131210406,-0.5003627245219253,-0.9890140702433863,-0.09501005918249006,-0.5349081251863473,-0.36345191940816046,-0.29683328375861096
