Date,Open,High,Low,Close,Volume
2015-01-05,62.64987564086913,62.94539392219399,61.763320796894575,62.64987564086914,1304000
2015-01-06,61.763319508010795,63.240910883800524,61.763319508010795,62.94539260864258,2598000
2015-01-07,62.945395248196135,62.945395248196135,62.05884038554548,62.3543586730957,1585000
2015-01-08,62.94539392219399,63.83194876616855,62.05883907821943,62.64987564086914,2284000
2015-01-09,62.94539168329523,62.94539168329523,59.69469070434571,59.6946907043457,5161000
2015-01-12,59.69469945571002,61.17229102639591,59.10366282743566,60.285736083984375,2775000
2015-01-13,59.69469307464303,61.467802769929456,59.69469307464303,60.876766204833984,2443000
2015-01-14,60.285738540277244,61.17229351881073,60.285738540277244,60.58125686645508,1325000
2015-01-15,59.99021483975733,60.28573313946057,58.27620779962827,58.630828857421875,5998000
2015-01-16,58.63083019609903,58.985455771240964,57.98069082375801,58.33531188964844,4257000
2015-01-19,58.80813608364183,59.990209170750205,57.803375763300096,57.92158126831055,3003000
2015-01-20,58.21709189103476,58.98544110040339,57.62605542513593,58.808128356933594,1872000
2015-01-21,59.10365591523298,59.39917419480914,58.63082486421068,58.7490348815918,2161000
2015-01-22,58.808134689331055,59.69468948364258,58.6308219267684,59.10365295410156,2864000
2015-01-23,59.39917869755787,60.28573360349157,59.39917869755787,59.99021530151367,2668000
2015-01-26,60.28572724597289,60.28572724597289,59.10365416271852,59.6946907043457,1534000
2015-01-27,59.69469945571002,60.58125439812156,59.69469945571002,60.285736083984375,2178000
2015-01-28,59.69468895540444,59.990207217559906,58.92633967009989,58.98544692993164,3122000
2015-01-29,57.68516757033575,58.21710137817949,56.857715481384496,57.74427032470703,8875000
2015-01-30,57.862475637828695,58.09889114534168,57.38964462280273,57.389644622802734,3915000
2015-02-02,57.389650749211526,57.80337905883789,57.27144523746184,57.80337905883789,1662000
2015-02-03,57.80338223897564,58.03979327548151,57.33055114746094,57.33055114746094,3302000
2015-02-04,57.921578387394256,58.15799389490724,57.33054187323717,57.389644622802734,4179000
2015-02-05,57.92158858379909,58.57172796197102,57.62607027469808,57.68517303466797,3692000
2015-02-06,58.21709136065215,59.99020074219485,57.86247038619367,58.68992233276367,4731000
2015-02-09,58.6899291871232,59.990207748413084,58.6899291871232,59.10365295410156,3162000
2015-02-10,59.10366713398635,59.69470380532621,58.45352769736289,58.512630462646484,2324000
2015-02-11,58.8672311016734,59.399164822832425,57.980676402825154,58.808128356933594,2889000
2015-02-12,58.92633967009989,59.1036524310935,58.630821407944424,58.98544692993164,1869000
2015-02-13,58.80813947087723,59.10365775967561,58.57172393798828,58.57172393798828,2139000
2015-02-24,59.399178234732695,59.399178234732695,57.68517119476575,57.862483978271484,4180000
2015-02-25,57.86248398374429,58.80814164094438,57.80338122565392,58.630828857421875,2826000
2015-02-26,58.51262199568365,58.63082750914614,58.03979092333115,58.15800094604492,2384000
2015-03-02,58.21709189103476,58.98544110040339,58.21709189103476,58.808128356933594,2077000
