,Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,SMA_10,SMA_20
2016-03-07,-1.4109885395945307,-1.3746778876345838,-1.41018073375066,-1.39401092618252,0.4610766875914672,1.1974163216358142,0.41730735596774327,-1.5797963495286629,-1.6306626474412518
2016-03-08,-1.4066471321094605,-1.4005266267977328,-1.440931634256519,-1.380960217035794,0.1731988921910414,1.249184116171821,0.5968441333293166,-1.555408516184315,-1.6154437600913312
2016-03-09,-1.419671885169351,-1.4349918838341564,-1.449718187479608,-1.4418630781902118,-0.279747691977486,0.7779344267566821,0.6604850573509466,-1.5349402163703003,-1.6032686765592787
2016-03-10,-1.4413789225947022,-1.4091433221197207,-1.4409318442964532,-1.4462130714978518,-0.2543110704697651,0.7451753243988125,0.6968717602093317,-1.5131654281947222,-1.5913109970372614
2016-03-11,-1.4283544348371517,-1.4522243419048926,-1.4672901258235174,-1.4418629022899498,0.04998612442744478,0.7678334841011585,0.7213785570860719,-1.4944391186851693,-1.5791359047140645
2016-03-14,-1.4153304776842808,-1.3919107601639937,-1.4057880296679715,-1.3809605019428188,0.24345233974511818,1.0731094807057862,0.8005703579876134,-1.4696158611577805,-1.553263785890374
2016-03-15,-1.497817485202956,-1.4220677172497587,-1.4804691854864738,-1.402711483914321,0.12185461650661114,0.8861347036426201,0.8277680692332969,-1.4404376314680492,-1.5343489267016437
2016-03-16,-1.463085960020054,-1.46945692049099,-1.4672900703687057,-1.4723139448382734,-0.5414486810978502,0.33569791836170104,0.7595362722566726,-1.4286792361657519,-1.5258698369250718
2016-03-17,-1.4500614722625034,-1.4005266590590781,-1.4453249515976265,-1.4375126772209317,0.6717025531307533,0.5359265131945176,0.7359707129364896,-1.4190983475680994,-1.5147817856754966
2016-03-18,-1.4283544348371517,-1.4393001182263934,-1.4233600108227253,-1.4375127938455805,0.011494735548551113,0.5359255773349901,0.7081166698317587,-1.4204048275336496,-1.5023892823711509
2016-03-21,-1.4544026144452338,-1.4306832949565185,-1.4628965026916871,-1.4201116802023437,0.16828655303054457,0.6418583459034622,0.6969967164883218,-1.423017777755286,-1.49217085882265
2016-03-22,-1.4847932627477454,-1.4953058522115608,-1.4892549362056633,-1.4766642033826123,-0.3026944751598564,0.17332144620430684,0.6150655506152126,-1.4325987175299162,-1.4847788098761514
2016-03-23,-1.4934758124155465,-1.45222425886,-1.4848618153940591,-1.4766640256891483,0.04709252497082196,0.17332269797891509,0.5428616392900847,-1.436082645366308,-1.476299697873828
2016-03-24,-1.5585963940869225,-1.5426946244073827,-1.5639352746888768,-1.5288654571108387,0.9513707147352751,-0.23341495743612806,0.4197742349039698,-1.4443569875229434,-1.4695598670442422
2016-03-25,-1.5585963940869225,-1.5556191858924409,-1.5595423307522382,-1.5419161235464836,-0.6238148306851228,-0.3296833990346326,0.30271859775033677,-1.4543733298270425,-1.4652115880752636
2016-03-28,-1.5585963940869225,-1.5685434120143227,-1.5595423307522382,-1.57671733631601,-0.839622253440746,-0.5805728430084905,0.167003063423764,-1.4739705745416471,-1.4626026044741303
2016-03-29,-1.6106940798147853,-1.5685440632406193,-1.5990801602151876,-1.5636673248684105,-0.24825478540565513,-0.46173450356056545,0.0725977304735824,-1.490083886822786,-1.456080202694746
2016-03-30,-1.5542557825088703,-1.5728522349000205,-1.5946869724115809,-1.6158693992532456,-0.4098916045579414,-0.8285046037536498,-0.06252554798141562,-1.5044552439163685,-1.4573846722221029
2016-03-31,-1.502158096781008,-1.4953052336873698,-1.5287914900641868,-1.5462663407318389,1.1224285170297705,-0.2232699458130596,-0.08957832240558065,-1.5153425887401517,-1.4580368946700146
2016-04-01,-1.5716211471468127,-1.5470030254591967,-1.5683288866193574,-1.5462665599514804,-0.11972585139780134,-0.22327160506651725,-0.11075666448108021,-1.5262299438347333,-1.4641244258044563
2016-04-04,-1.5716211471468127,-1.5470030254591967,-1.5683288866193574,-1.5462665599514804,-0.11972585139780134,-0.22327160506651725,-0.12709093329783042,-1.5388593269073683,-1.4717338594266802
2016-04-05,-1.5716211471468127,-1.5470030254591967,-1.5683288866193574,-1.5462665599514804,-0.11972585139780134,-0.22327160506651725,-0.13944384250939607,-1.545827228788091,-1.4799955415241588
2016-04-06,-1.6541081546654888,-1.6417821042375071,-1.6517959279486967,-1.633269841681751,0.8391265711962853,-0.8982445434929601,-0.24741635747362953,-1.561505059447564,-1.4895616707082104
2016-04-07,-1.6888399451507308,-1.6762472468781615,-1.6737611972636801,-1.6637211517266288,0.3583881362226067,-1.0938123844978132,-0.36480245442236287,-1.5750054823421509,-1.5004322917671962
2016-04-08,-1.6975227601208713,-1.697788043788045,-1.704512230208421,-1.7202736658147404,-0.27766161478340795,-1.419002452957713,-0.5178902846283191,-1.592860881433163,-1.5143467077550419
2016-04-11,-1.7322537546990946,-1.7365611381439194,-1.7264770380641747,-1.7246235258705884,0.0460158506049249,-1.4426909357711721,-0.6378763820227897,-1.6076677912444446,-1.5315223018808994
2016-04-12,-1.7409368349715753,-1.719328519608995,-1.735262940634586,-1.742023976329906,0.24957602825192016,-1.539933791520267,-0.7453927737486177,-1.6255231011566644,-1.5484804650983306
2016-04-13,-1.6931810873334614,-1.7150203693578303,-1.7220836928463747,-1.73332368366363,0.37400001345684597,-1.4316870541990885,-0.812250565830732,-1.6372814663843172,-1.5615252124957195
2016-04-14,-1.6975227601208713,-1.6503985543874362,-1.682547173394061,-1.6767719054592383,0.25509400910932556,-0.781080154051823,-0.7921079573910609,-1.6503463971529908,-1.5734829126524599
2016-04-15,-1.6714743152104494,-1.6891719650467,-1.695726072815227,-1.6811220843671792,0.021521294435180954,-0.8135980604320332,-0.7732475757990734,-1.6638468030088223,-1.5856580202665005
2016-04-18,-1.6671321118183602,-1.6891711309218205,-1.682546401766616,-1.6811212444018389,-0.761024497110357,-0.8135882704501731,-0.7506617656209826,-1.6773471247756027,-1.5987027589364364
2016-04-19,-1.7192297975462232,-1.6762472196856164,-1.7045121137200123,-1.668071232774562,0.22757131040752662,-0.6553712542579981,-0.7105841096063762,-1.6895410080100737,-1.608268901409661
2016-04-20,-1.7365954274865045,-1.7064042563488748,-1.726477350830296,-1.7028729580133108,0.2166026202304319,-0.9524356230753703,-0.7116424871811121,-1.6965089859507476,-1.6195743737436878
2016-04-21,-1.7062053097886725,-1.7279447253077682,-1.7220838255457664,-1.7202734897786884,-0.46365844703000597,-1.0914531947980073,-0.725141343473911,-1.7021704486094482,-1.6291405663586453
2016-04-22,-1.7105464519714038,-1.7107122058411912,-1.7176906602726214,-1.715922821167062,-0.5011404330807187,-1.0315084811284934,-0.7235128290275096,-1.701734884928881,-1.6378370748725783
2016-04-25,-1.6975227601208713,-1.7107126024259856,-1.7001192872394923,-1.7159232188709972,-0.9634406629012512,-1.0315120263592343,-0.7149959538205761,-1.7008638959495734,-1.6447943078951186
2016-04-26,-1.6671321118183602,-1.680554644624144,-1.682546401766616,-1.6941719111200788,-0.5859290835031377,-0.7108290509187477,-0.6764583477237381,-1.696073418850682,-1.651316667441989
2016-04-27,-1.6714743152104494,-1.6805554810250025,-1.6825472442010267,-1.6724218679433314,-0.6150668267300262,-0.4096871246049574,-0.6148408381657436,-1.6899765293599218,-1.654143047300767
2016-04-28,-1.7018639023036017,-1.680555188660835,-1.7176908379136098,-1.6680711262810595,-0.05956630022055842,-0.3499725122014341,-0.5556173729255836,-1.6891054931107485,-1.660230608119123
2016-04-29,-1.7018639023036017,-1.702095897659312,-1.70011906480559,-1.7072227810737561,0.10624273927237185,-0.7869630399662918,-0.5483851926909258,-1.691718437594747,-1.668274879785106
2016-05-02,-1.7018639023036017,-1.702095897659312,-1.70011906480559,-1.7072227810737561,0.10624273927237185,-0.7869630399662918,-0.5374732855870836,-1.6943314661677964,-1.6763191514510878
2016-05-03,-1.7018639023036017,-1.702095897659312,-1.7089049513596,-1.6854718993706208,-0.63121700817097,-0.4553651061711349,-0.49908276455411205,-1.6960734493918916,-1.6832763573287794
2016-05-04,-1.7322537546990946,-1.7020958692902088,-1.7220837527777995,-1.702872643971247,0.2445963516012193,-0.6612402961881463,-0.4840969390127331,-1.6960734179530963,-1.6867549668937059
2016-05-05,-1.7322537546990946,-1.7150204289511333,-1.7264770380641747,-1.7420239604818468,0.07670130086669892,-1.0728633104723073,-0.512338541420782,-1.6982508606890927,-1.6906683854707854
2016-05-06,-1.749619384639376,-1.7451771265057612,-1.7616207649610036,-1.7376736895385319,0.41403917532311313,-1.0013384133709444,-0.5246861666469882,-1.7004283432357215,-1.6915380040344719
2016-05-09,-1.766985279881997,-1.7624098652403282,-1.766013812629942,-1.7681248940178407,-0.6534236065809997,-1.2972495054472848,-0.5639925883075141,-1.7056542604081186,-1.6937121158567952
2016-05-10,-1.7843511751246173,-1.7796426068348263,-1.7879793161791804,-1.7942266658241437,-0.18762413560693578,-1.5227053419053151,-0.6190294850278678,-1.71567075622587,-1.6963211024064206
2016-05-11,-1.797375397579829,-1.7796424021616981,-1.7923720534626952,-1.7681251335386259,-0.1404520143106616,-1.0796929947440197,-0.6264343025329139,-1.7252516238459616,-1.6980604096243246
2016-05-12,-1.8103996200350398,-1.7968751694997793,-1.796765131543425,-1.8029268122579147,-0.6752937153974732,-1.3885956123149328,-0.6656529675405958,-1.7387520458757035,-1.7043653808469919
2016-05-13,-1.8451308799156028,-1.8356481898245738,-1.8363019793952748,-1.8246773699600727,0.3377966482901545,-1.562013153396071,-0.7145174089337645,-1.750510441584485,-1.7115399883790592
2016-05-16,-1.8451308799156028,-1.8356481898245738,-1.8494808093862563,-1.8594785779263532,-0.7482388818425366,-1.8121212795808646,-0.7852143541522492,-1.7657527912050819,-1.72045393301871
2016-05-17,-1.823423577187912,-1.8184154068183291,-1.840694774074664,-1.8507782129654617,-0.1455662340367946,-1.6597339171783898,-0.8227711121875817,-1.782301629925121,-1.729585264343955
2016-05-18,-1.8277655152776604,-1.8399566889685937,-1.8363024077802292,-1.842078230675178,-0.22046293460050392,-1.5045797883247294,-0.8339357737696159,-1.7962375211394033,-1.736542466885251
2016-05-19,-1.797375397579829,-1.8141076689817401,-1.8187300537769413,-1.8029266779781685,0.03161519081201483,-0.8619596228541692,-0.7896872674465634,-1.8023345009070906,-1.7406733087707043
2016-05-20,-1.8017168050648993,-1.801183154536074,-1.8099442123493008,-1.8072768309432077,-0.5921873150853718,-0.9063806045532063,-0.751968055349954,-1.8093024813578384,-1.7452390004059337
2016-05-23,-1.66279070433329,-1.680554937202656,-1.796764598607134,-1.807276391215489,0.42097032013997193,-0.9063732785734171,-0.7148497646964935,-1.8132219433474144,-1.7498046501879954
2016-05-24,-1.6888399451507308,-1.6590149486923949,-1.6737611972636801,-1.6724217072242455,-0.16225478563693096,0.6948438863892241,-0.5253627376693126,-1.801028031503786,-1.7487176182751645
2016-05-25,-1.6193768947849256,-1.6288575291259593,-1.6474026273085847,-1.6550207087028381,0.2414336000412442,0.8354859917470931,-0.3521446112616109,-1.7897051313408936,-1.7478479429606124
2016-05-26,-1.636742790027547,-1.6331657079157726,-1.6298309585482431,-1.6158691577434792,-0.40114360060284476,1.1290404028910221,-0.16892715521215754,-1.7709787627673654,-1.7452389924429668
2016-05-27,-1.5846461655090425,-1.6073176663764153,-1.6122592527600454,-1.6289202279507622,-0.03863825674206196,0.9550058259823235,-0.03929196299152397,-1.7513814872552653,-1.7413255866418773
2016-05-30,-1.5455732328410698,-1.5599281869369788,-1.5595432635245776,-1.572368153176346,0.1422442898259151,1.3485903033965403,0.12598983227898294,-1.722638821529411,-1.7345858206691307
2016-05-31,-1.5759628199342226,-1.5599278963020575,-1.5727221418935242,-1.5419167647781824,1.167783713235319,1.5310617004600269,0.2876527598758193,-1.691718657733269,-1.7274112206837655
2016-06-01,-1.5499141097214608,-1.559927702987254,-1.5771148912169901,-1.5810678863523588,-0.32079619071944615,1.0207774071131341,0.3655344681014876,-1.665588874795596,-1.721323661261312
2016-06-02,-1.5499141097214608,-1.5383869936489143,-1.5463639458230352,-1.554966895623834,-0.20740816722933114,1.1955540639424849,0.4510474412327648,-1.6407655854849696,-1.7119749213600683
2016-06-03,-1.5542557825088703,-1.547003453194487,-1.5507572011047857,-1.554967206152022,-0.4747616802825329,1.195549929877106,0.5119005552797683,-1.6155068328252458,-1.7028436148641184
2016-06-06,-1.5846461655090425,-1.5599281797784905,-1.5859012545356075,-1.5723681460143282,-0.6633828939299135,0.95752932603233,0.5329638791318049,-1.5919901347675458,-1.6930600821096233
2016-06-07,-1.5542557825088703,-1.5642360861192095,-1.563936029905911,-1.5680178696081355,-0.13405917370050738,0.9925897595915134,0.5473331975481227,-1.5815382516368333,-1.6817546165780117
2016-06-08,-1.5759628199342226,-1.5556198217603743,-1.5727221418935242,-1.5593171984836984,0.4256135071971165,1.0652710904678424,0.5612384179329715,-1.5719573595274137,-1.671318811463535
