,Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,SMA_10,SMA_20
2016-01-04,-1.2565448917278808,-1.2412295020514879,-1.2535923252080312,-1.2411938712402806,0.25936221633576917,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-05,-1.2637632950907676,-1.2579346751902574,-1.2632882309118818,-1.2580132588953032,0.6496151079563087,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-06,-1.2757941119790535,-1.2674806517923254,-1.272984292283945,-1.2628189673679457,1.0411666780847368,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-07,-1.287824495016915,-1.2817990924940086,-1.294799782010564,-1.2796380721349407,1.5239504133923427,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-08,-1.2830123225195293,-1.2817991790518315,-1.2875279494841625,-1.2916519959504997,0.8521007319779474,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-11,-1.287824495016915,-1.2841855438523004,-1.294799782010564,-1.2868463752964956,0.7558902991851966,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-12,-1.287824495016915,-1.2865719952105925,-1.289951836349632,-1.2868463752964956,0.016888116592059035,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-13,-1.2854185533850304,-1.2794128303205186,-1.282680106472159,-1.2844437952427636,0.1807921666085058,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-14,-1.29504304299661,-1.2961179592376724,-1.2947999412674622,-1.2988603717627931,0.26390759111337947,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-15,-1.2685756122049614,-1.2674805378779972,-1.2705602068284716,-1.2652216198352095,2.439789319476318,-1.212596537985397,-0.034222598393030226,-1.270615268516692,-1.2604714538761785
2016-01-18,-1.2685756122049614,-1.2674805378779972,-1.2754081513593476,-1.2772354556373755,0.1288450262929598,-1.212596537985397,-0.034222598393030226,-1.274222144511131,-1.2604714538761785
2016-01-19,-1.2637632950907676,-1.2674804792480086,-1.2681361758742926,-1.2652215610182425,-0.5756880642366331,-1.212596537985397,-0.034222598393030226,-1.2749435182332582,-1.2604714538761785
2016-01-20,-1.2806063808876447,-1.269867114085417,-1.2802562195618294,-1.265221746098026,0.5120634093291024,-1.212596537985397,-0.034222598393030226,-1.2751839772770668,-1.2604714538761785
2016-01-21,-1.2782001500221436,-1.2746399121616998,-1.2778321454394435,-1.2820410115820637,-0.13218935379265898,-1.212596537985397,-0.034222598393030226,-1.275424452404698,-1.2604714538761785
2016-01-22,-1.261357160636472,-1.2650940230366838,-1.2681361706909782,-1.2700270906100088,-0.02634705539973396,-0.6299071672714612,-0.034222598393030226,-1.2732603313412267,-1.2604714538761785
2016-01-25,-1.2565448917278808,-1.257934659543716,-1.2535923252080312,-1.253207708393159,-0.38916536354112574,0.03205088391697159,-0.034222598393030226,-1.269893928277427,-1.2604714538761785
2016-01-26,-1.2661696223674739,-1.262707775804466,-1.2632884297172458,-1.2652217588036607,-0.5588052436340807,-0.4382758254990479,-0.034222598393030226,-1.2677298361205007,-1.2604714538761785
2016-01-27,-1.2565448917278808,-1.2603211106140344,-1.2560162977459959,-1.2580132432543103,-0.5598874757239879,-0.17312290141549036,-0.034222598393030226,-1.2650847880439071,-1.2604714538761785
2016-01-28,-1.2541388054791878,-1.2555482512961451,-1.2584403130060464,-1.2628188204638116,0.18890890728280987,-0.3603037977695581,-0.034222598393030226,-1.261477915361775,-1.2604714538761785
2016-01-29,-1.2397020469590172,-1.2436160127574807,-1.258440328739321,-1.2604160688388166,1.1493357754709623,-0.2661241016052016,-0.034222598393030226,-1.260996997921022,-1.2604714538761785
2016-02-01,-1.2348896334336177,-1.238842956900752,-1.2414723686176137,-1.2339854742249001,0.3553562027105386,0.5954816821926131,-0.034222598393030226,-1.2566687387080568,-1.2601104277675483
2016-02-02,-1.2421082296189154,-1.236456714079075,-1.2414725760739245,-1.2339856834996077,-0.48678269805075597,0.5954724434698198,-0.034222598393030226,-1.2535427957543315,-1.2589070281731005
2016-02-03,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265645,-0.034222598393030226,-1.2499359290077152,-1.2572222633465906
2016-02-04,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265645,-0.034222598393030226,-1.2446458675310872,-1.25469512872112
2016-02-05,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265639,-0.034222598393030226,-1.2405581040077276,-1.2515662874810922
2016-02-08,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265639,-0.034222598393030226,-1.2381535468964633,-1.2486781314475766
2016-02-09,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265639,-0.020962893843159705,-1.2345466788783253,-1.2457899754140607
2016-02-10,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265639,-0.01291928647317593,-1.2316612059410483,-1.2430221504507706
2016-02-11,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265645,-0.00905402996914947,-1.228294812939731,-1.23953228416405
2016-02-12,-1.2252654330556545,-1.2292974667349714,-1.2269288484888659,-1.229180254109481,1.9528389906225696,0.7329118451265645,-0.008506458690629506,-1.22516887626967,-1.2377271846405475
2016-02-15,-1.2300773645250267,-1.2269106901875362,-1.2390483861701256,-1.2435965357688765,2.083247957456388,-0.25804283545463536,-0.03889075133290792,-1.2261307071032455,-1.236042409466159
2016-02-16,-1.2180469332815622,-1.219751551777415,-1.2220807914163796,-1.2243746078448114,1.1163276967287925,0.6090391636548809,-0.02706802537688138,-1.2251688748575238,-1.2339966263992523
2016-02-17,-1.2156407024160614,-1.2149785485591753,-1.2148087728990864,-1.209957902980604,0.2206183075170911,1.080455337237295,0.008246447520544481,-1.2232451903690857,-1.2312287863113571
2016-02-18,-1.2012039438958906,-1.205432761187645,-1.2026889272436028,-1.2051523849768409,1.4762239782274347,1.2177646219478886,0.0426788394473937,-1.2208405917416454,-1.2273778883097655
2016-02-19,-1.2012039438958906,-1.205432761187645,-1.205112899696842,-1.2099579196700245,0.06991748899751227,0.9233760494044126,0.05714316230431121,-1.2189169089234078,-1.2243693776815583
2016-02-22,-1.2012039438958906,-1.198273408226931,-1.2026889272436028,-1.2075551523234327,-0.39895956395478593,1.001120344370598,0.06996161665333568,-1.2167527682005685,-1.2220829102975186
2016-02-23,-1.2084224436699826,-1.2054328736003068,-1.2051130123646159,-1.2027497304367134,-0.6533382166874754,1.1552391221236042,0.0860654271934615,-1.2141077229576784,-1.218954054707096
2016-02-24,-1.2156407024160614,-1.207819195431588,-1.2148087728990864,-1.2075551355780079,-0.6682730195281948,0.838997334707003,0.0856755708942504,-1.2119435805590344,-1.2164269055747228
2016-02-25,-1.2036100301445833,-1.2054327184592202,-1.2075368294683972,-1.209957877219271,-0.4964145636509301,0.6827781891375848,0.07708872001934623,-1.2100198934925206,-1.2137794125749086
2016-02-26,-1.2108287227410865,-1.2030465745168717,-1.2099611068728957,-1.2003471155286451,0.17743724712979347,1.0320946366295118,0.08578269921911884,-1.2071344056003754,-1.2107709128464959
2016-02-29,-1.2108287227410865,-1.2030465745168717,-1.2099611068728957,-1.2003471155286451,0.17743724712979347,1.0320946366295118,0.08903269734828384,-1.2028062025469473,-1.2090861657779168
