Stock,Model,MSE,MAE,RMSE,MAPE,R2,Accuracy,F1
1301,xLSTM,4.966978549957275,1.1893068552017212,2.2286719251512266,2.511293649673462,0.9754999876022339,0.6550868486352357,0.6498740554156172
2330,xLSTM,10774.3681640625,78.34748077392578,103.79965396889577,8.956273078918457,0.7282521724700928,0.49627791563275436,0.00975609756097561
2882,xLSTM,9.235860824584961,1.9629809856414795,3.0390559100788126,3.376030921936035,0.8988919258117676,0.5682382133995038,0.304
1734,xLSTM,0.051639001816511154,0.17597171664237976,0.22724216557785035,0.6172159910202026,0.9810215830802917,0.7593052109181141,0.787746170678337
3008,xLSTM,2008.5274658203125,33.040260314941406,44.8165981062855,1.4191871881484985,0.9733068346977234,0.6873449131513648,0.6272189349112426
1301,LSTM,12.713026,2.2933416,,,0.9372921,0.4714640198511166,0.4689363793125586
2330,LSTM,47405.297,153.54324,,,-0.19564176,0.4789081885856079,0.4232370974306458
2882,LSTM,28.818457,3.5368638,,,0.68451464,0.4689826302729528,0.4477033285059584
1734,LSTM,1.0909278,0.9187515,,,0.59906125,0.488833746898263,0.3332338542015961
3008,LSTM,6370.716,63.537617,,,0.9153337,0.4937965260545905,0.4727132711559852
1301,TCN,2.1258888,1.1224163,,,0.9895139,0.4764267990074441,0.4754625658634982
2330,TCN,358.14362,13.663525,,,0.99096704,0.5161290322580645,0.5076591248145463
2882,TCN,1.2158238,0.7983827,,,0.98669,0.4640198511166253,0.378589885102883
1734,TCN,0.73057646,0.7634297,,,0.7314979,0.511166253101737,0.3753815908740927
3008,TCN,5466.794,59.911835,,,0.92734677,0.5285359801488834,0.4505775977747169
1301,Transformer,5.8424172,1.4285566,,,0.97118187,0.5136476426799007,0.4977856291722672
2330,Transformer,50237.71,159.90488,,,-0.2670802,0.4813895781637717,0.4698255047080885
2882,Transformer,20.465479,2.739677,,,0.7759575,0.5707196029776674,0.5566063041373595
1734,Transformer,0.736532,0.7657286,,,0.72930914,0.5086848635235732,0.4001557980052603
3008,Transformer,3547.593,47.206856,,,0.9528528,0.6104218362282878,0.5715449118564452
