Model,MSE,MAE,R2,Accuracy,F1
LSTM,10763.72708216,44.765962779999995,0.588111986,0.48039702233250614,0.42916478612134884
TCN,1165.801981812,15.25191774,0.9252031219999999,0.49925558312655094,0.43753415288594744
Transformer,10762.46948564,42.40913964,0.632444222,0.5369727047146402,0.4991836295758841
xLSTM,2034.0142383999998,21.5351596,0.9347991999999999,0.5617866,0.4860034000000001
